Tale of Kieu 1871/page122_17.jpg	𨔍之國色天才沛緣
Tale of Kieu 1866/page068a_8.jpg	𠀧生㐌菲𨑮願
Luc Van Tien/nlvnpf-0059-094_4.jpg	状元連馭阻𦋦
Tale of Kieu 1872/page81b_15.jpg	𡗋㝵朱旦碑除買催
Tale of Kieu 1866/page065a_11.jpg	酉𢚸箕丕群𠳒󰀎牢
Tale of Kieu 1872/page54b_8.jpg	世芇娘共沛𦖑
Tale of Kieu 1871/page118_11.jpg	謝辞生買湥洡𧿨𦋦
Luc Van Tien/nlvnpf-0059-009_19.jpg	尼昆婢膝𠸜󰑼金連
Luc Van Tien/nlvnpf-0059-013_14.jpg	󰝸畨宋玉拱󰟴西詩
Tale of Kieu 1872/page79a_5.jpg	酉𢚸箕丕群𠳒𧘇牢
Tale of Kieu 1872/page41a_13.jpg	浽𢚸埃扵𥪝𢚸麻𦋦
Tale of Kieu 1871/page063_3.jpg	𠓀󰑼惵意𡢐些別情
Tale of Kieu 1871/page106_22.jpg	㐌咍城算庙堂
Tale of Kieu 1872/page51b_15.jpg	𠯇𦖻𠳨吏花婢畧𡢐
Tale of Kieu 1872/page42a_2.jpg	特𠳒如𨷑𡬷𣘈
Tale of Kieu 1866/page034a_16.jpg	特𠳒如𨷑𡬷𣘈
Tale of Kieu 1871/page071_21.jpg	𠊛󰠳麻吏体𨕭𡎝塵
Tale of Kieu 1872/page66b_2.jpg	𠰺浪香火𠀧生
Tale of Kieu 1872/page82b_18.jpg	承家庄歇娘云
Tale of Kieu 1871/page083_1.jpg	舌𬓲蒂拱吏強極低
Tale of Kieu 1866/page058b_20.jpg	用浪欺𨀈蹎𦋦
Tale of Kieu 1866/page032a_1.jpg	或󰑼沖固爫牢庒󰑼
Tale of Kieu 1871/page035_10.jpg	𧗱低自𠓀𣷭花
Tale of Kieu 1871/page121_8.jpg	秀妑共馬監生
Tale of Kieu 1872/page36b_13.jpg	𠰺朱𦟐粉吏𧗱楼撑
Tale of Kieu 1871/page062_23.jpg	世芇拱𫽄酉衝特芇
Tale of Kieu 1872/page23a_13.jpg	身𠦳鐄底污名𦟐紅
Tale of Kieu 1872/page43b_16.jpg	唉喂呐歇事緣
Tale of Kieu 1866/page030b_18.jpg	𣴓𢚸生買𢪀溇
Tale of Kieu 1871/page009_1.jpg	買共饒𣅶班𣈜㐌悁
Tale of Kieu 1866/page017a_9.jpg	刻更㐌𠽖南楼󰋇囬
Tale of Kieu 1866/page015a_20.jpg	役茹㐌暫從容
Tale of Kieu 1872/page07b_7.jpg	養生堆女󰖥絲渚填
Tale of Kieu 1872/page26b_3.jpg	媒群𬂙󰘚娘它過𢬣
Luc Van Tien/nlvnpf-0059-078_12.jpg	些低拱固𠬠昆
Tale of Kieu 1866/page048a_21.jpg	𣈙󰏙倣㐌甘𢚸意渚
Tale of Kieu 1872/page17a_11.jpg	固𠀧𤾓两役尼買吹
Tale of Kieu 1866/page013b_11.jpg	固𠀧𤾓两役尼買吹
Tale of Kieu 1872/page67b_13.jpg	󰘚芇麻吏𨅸𥪝𡎝𠁀
Tale of Kieu 1866/page037b_15.jpg	小姐沛𣇜買𧗱寧家
Tale of Kieu 1872/page14b_9.jpg	節𤾓𢆥女補𠫾𠬠𣈜
Luc Van Tien/nlvnpf-0059-068_9.jpg	㝵𡢐別固﨤堆庒󰑼
Tale of Kieu 1872/page26a_10.jpg	昆箕㐌半朱些
Tale of Kieu 1872/page49a_9.jpg	沛欺𠇮吏㤕賒浽𠇮
Tale of Kieu 1871/page065_15.jpg	朱𠊛𠶀板半船別𢬣
Tale of Kieu 1872/page74b_5.jpg	欣㝵知勇迎𡗶威灵
Tale of Kieu 1871/page050_1.jpg	𨀈𠓨皮立恃䧺𦋦𢬣
Tale of Kieu 1866/page025b_1.jpg	𨀈𠓨皮立恃䧺𦋦𢬣
Tale of Kieu 1872/page35b_3.jpg	添㝵㝵拱支𢚸貞西
Tale of Kieu 1866/page038a_2.jpg	領𠳒娘買󰇾𦀊
Tale of Kieu 1866/page067b_20.jpg	󰜋番知己共饒
Tale of Kieu 1871/page102_16.jpg	朝廷貞󰜋谷𡗶
Tale of Kieu 1871/page127_8.jpg	轎花𠽖逴卽時
Luc Van Tien/nlvnpf-0059-099_7.jpg	本碎買曳𠬠吝嗔容
Luc Van Tien/nlvnpf-0059-093_10.jpg	󰋇𠳒誓海盟山
Tale of Kieu 1872/page05a_8.jpg	㐌𢚸顕現朱𫀅
Tale of Kieu 1872/page16b_7.jpg	沛𠸜称出󰑼尙半絲
Tale of Kieu 1871/page093_21.jpg	󰊄𩄲平㐌旦󰠍埮𣾺
Tale of Kieu 1872/page32b_10.jpg	別包𧊉也蜂淶
Tale of Kieu 1866/page045a_3.jpg	世󰠃娘買賒𧵆咀嘆
Tale of Kieu 1871/page021_3.jpg	㗂牟派派如𡗶覩湄
Luc Van Tien/nlvnpf-0059-030_3.jpg	歆油固杜拱空𢧚耒
Tale of Kieu 1872/page65b_2.jpg	浪娘𫵀分紅顔
Luc Van Tien/nlvnpf-0059-104_0.jpg	阻𧗱渚及細茄
Tale of Kieu 1871/page101_8.jpg	買咍前定𫽄啉
Tale of Kieu 1871/page134_16.jpg	傷𢝙𪽝在𢚸尼
Tale of Kieu 1866/page067b_16.jpg	傷𢝙𪽝在𢚸尼
Tale of Kieu 1871/page081_13.jpg	𡑝秋𦝄㐌𠄽番𨅸頭
Tale of Kieu 1872/page50a_15.jpg	𡑝秋𦝄㐌𠄽番𨅸頭
Tale of Kieu 1866/page067b_3.jpg	你𢚸𠊛󰉵𠳐𠳒󰜋番
Tale of Kieu 1871/page020_23.jpg	姅分戀主姅分思家
Tale of Kieu 1872/page17a_2.jpg	底𠳒誓海盟山
Tale of Kieu 1871/page087_7.jpg	分𪬡油磊油埋在𠊛
Tale of Kieu 1871/page092_9.jpg	倣信特󰜋𠄽分咍空
Tale of Kieu 1871/page089_7.jpg	別𠊛別󰘚別𢚸爫牢
Tale of Kieu 1871/page083_16.jpg	𠲝觥生買料𠳒
Luc Van Tien/nlvnpf-0059-061_5.jpg	𨉓尼𧯶易方芇別󰦓
Tale of Kieu 1872/page75a_13.jpg	㤕身沉浽𤴬𢚸合散
Tale of Kieu 1872/page58a_9.jpg	㐌󰍹昆𬑉方𡗶󰝡󰝡
Tale of Kieu 1871/page058_19.jpg	襘鞍㐌𧡊椿堂典尼
Luc Van Tien/nlvnpf-0059-043_7.jpg	法符㐌𨇜柴筭理芇
Tale of Kieu 1871/page100_10.jpg	令󰄹傳𫴋内刀
Luc Van Tien/nlvnpf-0059-055_19.jpg	悶𦋦朱塊埃𢴿些𠫾
Tale of Kieu 1866/page067a_9.jpg	路󰑼𧜖襘買𦋦瑟琴
Tale of Kieu 1871/page118_23.jpg	如燶肝鉄如胞𢚸𣘈
Tale of Kieu 1872/page74a_17.jpg	𦀊緣𡢐吏嫁󰡲束郎
Tale of Kieu 1866/page013b_8.jpg	𧡊娘孝重情深
Luc Van Tien/nlvnpf-0059-082_8.jpg	傕又娘渚咀𦋦
Tale of Kieu 1872/page48b_0.jpg	小姐吏𠽇𥙩娘
Tale of Kieu 1871/page109_22.jpg	󰜋命荄䔲𤾓塘
Tale of Kieu 1866/page012a_9.jpg	浽茹䘮𩯀浽命賒吹
Tale of Kieu 1872/page62b_1.jpg	殺寃󰟯㐌潙潙𮗓𢚸
Tale of Kieu 1871/page075_22.jpg	鄭念𢖵景家香
Tale of Kieu 1866/page038a_22.jpg	鄭念𢖵景家香
Tale of Kieu 1866/page027b_5.jpg	蹺嚴塘𨷑𡾵行臨淄
Tale of Kieu 1872/page42b_8.jpg	娘自隻䏾窻𦂛
Luc Van Tien/nlvnpf-0059-079_14.jpg	儉浪娘呐差耒
Tale of Kieu 1871/page017_16.jpg	生浪樸畫皮耒
Luc Van Tien/nlvnpf-0059-076_3.jpg	妾願𠬠𬌓𢚸𣦍買払
Tale of Kieu 1872/page23b_3.jpg	急迡催拱𠬠吝󰑼催
Tale of Kieu 1866/page032a_9.jpg	束翁拱倍逐払寧家
Tale of Kieu 1871/page093_1.jpg	達床七宝圍幔八仙
Tale of Kieu 1866/page065b_17.jpg	麻冲𨤰沛固𠊛固些
Tale of Kieu 1871/page128_0.jpg	重生恩𥘀𣷭𡗶
Tale of Kieu 1872/page34a_14.jpg	生強𠬠醒𨑮迷
Luc Van Tien/nlvnpf-0059-003_19.jpg	𠖈滝供𠊡𨖲𰎉拱安
Luc Van Tien/nlvnpf-0059-073_7.jpg	頒朱钱泊給侯迻𠫾
Tale of Kieu 1871/page122_1.jpg	捁𧗱㨂秩󰜋城臨淄
Tale of Kieu 1871/page022_0.jpg	㐌朱𠓨堛布荆
Tale of Kieu 1871/page046_19.jpg	群𡗉結𦹵唅㐌𧗱𡢐
Tale of Kieu 1866/page011b_0.jpg	㐌朱𠓨堛布荆
Luc Van Tien/nlvnpf-0059-064_16.jpg	直浪埃𨔍奉仙
Tale of Kieu 1871/page085_1.jpg	撩核𥹰拱固𣈜𢯏花
Tale of Kieu 1866/page051a_23.jpg	𡬷貞如拮梗苔覩𠫾
Tale of Kieu 1872/page06b_9.jpg	蓮鐄朗蕩如𧵆如賒
Tale of Kieu 1871/page017_12.jpg	𨕭案筆架書同
Tale of Kieu 1872/page64b_2.jpg	整󰀩接使倍傍
Tale of Kieu 1866/page065a_1.jpg	群暈𦝄泊群𠳒願初
Tale of Kieu 1871/page075_11.jpg	𥊛潙故囯別󰠲󰑼茹
Luc Van Tien/nlvnpf-0059-007_5.jpg	呌蹺𨅸吏𤑟𢈱分戈
Luc Van Tien/nlvnpf-0059-045_16.jpg	仙浪情畧󰒂𡢐
Tale of Kieu 1872/page54b_1.jpg	空仍渚易麻𠖤塘𡗶
Tale of Kieu 1872/page59a_0.jpg	娘浪󰡑分𬏝䜹
Tale of Kieu 1871/page093_0.jpg	房貞所准清閒
Tale of Kieu 1872/page16a_17.jpg	頭𬌥󰘚馭呦呦如㵢
Tale of Kieu 1871/page108_6.jpg	䜹浪萡分曲尼
Tale of Kieu 1872/page61b_1.jpg	㪯辕吏𢴑𠬠𦀊引𠓨
Tale of Kieu 1872/page51a_5.jpg	庄𤾓𢆥拱𠬠𣈜緣些
Luc Van Tien/nlvnpf-0059-078_7.jpg	庒荘臺阁拱行簮纓
Luc Van Tien/nlvnpf-0059-007_7.jpg	𠸜󰑼杜預号󰑼風來
Tale of Kieu 1866/page025b_18.jpg	刼初㐌唪塘修
Tale of Kieu 1872/page21b_19.jpg	𨁪扲娘㐌𪭯𠓨湥巾
Tale of Kieu 1866/page061b_8.jpg	𦖑𠳒都呐𤑟𤉜
Tale of Kieu 1866/page017b_17.jpg	𰐁制㐌𧿨𧗱𫅷歇綠
Tale of Kieu 1866/page037b_2.jpg	於低𦖻壁脉棱
Tale of Kieu 1871/page131_15.jpg	氷傾緣買吟𠿯情初
Tale of Kieu 1872/page27b_5.jpg	旦調𤯩濁牢平托冲
Tale of Kieu 1872/page80a_17.jpg	氷傾緣買吟𠿯情初
Luc Van Tien/nlvnpf-0059-076_18.jpg	埃咍󰑼妸金連
Tale of Kieu 1866/page028b_17.jpg	𢚸箕𡨹特常常󰑼庒
Tale of Kieu 1871/page113_15.jpg	渃吹俸㐌㵢寅羡尼
Tale of Kieu 1872/page07a_1.jpg	共㝵𠬠會𠬠船󰠲車
Tale of Kieu 1866/page037a_3.jpg	𦋦從隴縱拯衝皮芇
Tale of Kieu 1872/page58b_17.jpg	𢖵𠳒呐仍包除咍空
Tale of Kieu 1866/page023a_2.jpg	󰜋払皮濯青春
Tale of Kieu 1866/page038a_11.jpg	󰟻潙故囯別兜󰑼茹
Tale of Kieu 1871/page038_11.jpg	𬋟湄退退圭𠊛󰜋身
Luc Van Tien/nlvnpf-0059-012_3.jpg	𢚸吱拱沛󰘚魚牢仃
Tale of Kieu 1866/page012a_17.jpg	朱停𢚸几蹎𩄲𨤔𡗶
Tale of Kieu 1871/page005_6.jpg	吏強塢湥󰞺花
Luc Van Tien/nlvnpf-0059-028_1.jpg	被𡗶欧𠲝𧗱茄𠰺民
Luc Van Tien/nlvnpf-0059-044_9.jpg	幔𡗶詔坦塘長劳刀
Tale of Kieu 1872/page46a_9.jpg	小姐沛𣇜買󰡲寧家
Tale of Kieu 1872/page14b_0.jpg	䜹浪停𥙩爫制
Tale of Kieu 1872/page23b_8.jpg	断膓台六分岐
Tale of Kieu 1871/page131_6.jpg	𦖑払呐㐌歇調
Tale of Kieu 1871/page133_22.jpg	情初來𣼽坤寒
Luc Van Tien/nlvnpf-0059-104_14.jpg	排𦋦六礼産床
Tale of Kieu 1872/page80a_8.jpg	𦖑払呐㐌歇調
Tale of Kieu 1866/page066a_6.jpg	𦖑払呐㐌歇調
Tale of Kieu 1872/page07a_3.jpg	勾神吏慢笔花󰖽潙
Tale of Kieu 1871/page103_1.jpg	𠄼𢆥雄據󰜋方海瀕
Tale of Kieu 1872/page28a_18.jpg	𠬠払皮擢青春
Tale of Kieu 1866/page060a_17.jpg	炪炉香󰇾泛同𣈜初
Tale of Kieu 1872/page47a_11.jpg	催催㐌默𠓨𫒥󰝸差
Tale of Kieu 1871/page075_23.jpg	𢖵圭払吏尋塘深圭
Luc Van Tien/nlvnpf-0059-082_11.jpg	踈浪𠊚㐌恩餒闭迡
Luc Van Tien/nlvnpf-0059-068_3.jpg	㵢㵢花󰲼󰉺残功名
Tale of Kieu 1871/page071_9.jpg	出神𦀊丿渚殘𥘀香
Luc Van Tien/nlvnpf-0059-043_5.jpg	領符阻吏筭排茦湯
Tale of Kieu 1872/page24b_0.jpg	𠦳尋如䏾松筠
Tale of Kieu 1872/page32b_6.jpg	傷咍身分落類
Tale of Kieu 1866/page018b_23.jpg	急迡催拱󰜋吝麻催
Tale of Kieu 1871/page074_7.jpg	浽𢚸𩛂仍盘桓念西
Tale of Kieu 1872/page73a_2.jpg	㝵窈窕几文章
Tale of Kieu 1871/page030_5.jpg	磊誓催㐌負仿貝花
Tale of Kieu 1866/page043a_4.jpg	㐱𠲖圭舘󰜋命
Tale of Kieu 1871/page002_23.jpg	馭車如渃襖裙如𣑻
Tale of Kieu 1866/page01b_23.jpg	馭車如渃襖裙如揇
Tale of Kieu 1871/page070_21.jpg	𡥵𠊛世󰀎托寃世尼
Tale of Kieu 1871/page025_14.jpg	下辞𠹚𥛉卒𣈜
Tale of Kieu 1871/page098_12.jpg	媒𫅷師長次𠄩
Tale of Kieu 1872/page60b_2.jpg	媒𫅷師長次𠄩
Tale of Kieu 1872/page72b_2.jpg	倍󰡲所准園花
Tale of Kieu 1871/page115_2.jpg	浽娘灾难㐌苔
Luc Van Tien/nlvnpf-0059-020_7.jpg	呵𠸦户陸福䝨生昆
Luc Van Tien/nlvnpf-0059-013_0.jpg	云仙𥄭吏𢚸唹
Tale of Kieu 1866/page051a_1.jpg	別兜䳽内𩄲󰠛󰑼兜
Tale of Kieu 1871/page128_13.jpg	𨅸𨖲雲買待排󰜋𠄩
Tale of Kieu 1872/page69b_5.jpg	渃𣵶俸㐌㵢寅羡尼
Tale of Kieu 1871/page025_1.jpg	頭𬌥𩈘馭呦呦如雷
Tale of Kieu 1866/page013a_1.jpg	頭𬌥𩈘馭呦呦如雷
Tale of Kieu 1871/page010_13.jpg	𥃱𠫾率𧡊應連占包
Tale of Kieu 1866/page025a_14.jpg	娘浪誓説𥘀𠳒
Tale of Kieu 1871/page082_15.jpg	𤯩乘群想典𣈙女牢
Luc Van Tien/nlvnpf-0059-040_15.jpg	吏添符注𠸗𫢩埃皮
Tale of Kieu 1871/page005_13.jpg	𧡊𠊛𬛩妬别𡢐世芇
Tale of Kieu 1866/page044b_17.jpg	寔他固󰜋单差𫽄𪟽
Tale of Kieu 1872/page27a_8.jpg	吕蹎卒㐌𠓨低
Tale of Kieu 1872/page72a_10.jpg	生強𬂙体強傷
Luc Van Tien/nlvnpf-0059-024_18.jpg	丿󰠲﨤伴故知
Tale of Kieu 1872/page45b_9.jpg	体㝵体󰞺𦋦𠓨麻傷
Tale of Kieu 1872/page54b_18.jpg	妾如昆燕落弹
Tale of Kieu 1871/page042_17.jpg	聀迷𦖑㐌油油皮散
Tale of Kieu 1872/page18a_15.jpg	𥆾娘𪪳㐌𧖱沙𦛌油
Tale of Kieu 1866/page06b_10.jpg	󰑼茹𪣘越商家
Luc Van Tien/nlvnpf-0059-053_3.jpg	朱𧷺仁󰒂辰欣泊鐄
Tale of Kieu 1871/page034_22.jpg	𨄹尋泣𢄂時圭
Tale of Kieu 1866/page044b_16.jpg	󰁮茹奔半州台
Tale of Kieu 1871/page043_0.jpg	呂蹎卒㐌𠓨低
Tale of Kieu 1871/page110_11.jpg	𡗶高𣷭𢌌󰜋牟包󰑼
Tale of Kieu 1871/page118_0.jpg	生強𬂙𧡊強傷
Tale of Kieu 1871/page078_1.jpg	版弹此𨄹󰜋排払𦖑
Tale of Kieu 1872/page41b_15.jpg	汫鐄㐌扔𠬠𠄽信梧
Tale of Kieu 1871/page046_18.jpg	敢洳骨肉死生
Tale of Kieu 1872/page70a_6.jpg	娘群魚󰡢別牢
Tale of Kieu 1872/page79b_8.jpg	自𣈙怯𫔳房秋
Tale of Kieu 1866/page068a_5.jpg	𫽄𥪞𧜖襘拱外琴詩
Tale of Kieu 1872/page27b_11.jpg	停𢚸娘共仕𠿯𠿯寅
Tale of Kieu 1872/page81a_17.jpg	󰑼𡗉鐄𥒥沛尋𦝄花
Luc Van Tien/nlvnpf-0059-003_10.jpg	尊師欺意論盘
Tale of Kieu 1872/page11a_2.jpg	自畨𥒥别歲鐄
Tale of Kieu 1866/page065b_6.jpg	𢪀命𫽄虎命牢
Luc Van Tien/nlvnpf-0059-056_1.jpg	喂傕身体群夷麻󰝺
Tale of Kieu 1866/page038a_1.jpg	竹絲𠳨典芸制每𣈜
Tale of Kieu 1871/page003_20.jpg	船情皮󰠼旦尼
Tale of Kieu 1871/page034_8.jpg	防欺渃㐌典蹎
Tale of Kieu 1866/page017b_8.jpg	防欺渃㐌典蹎
Tale of Kieu 1866/page030a_5.jpg	𤵺耒群別坤爫牢低
Tale of Kieu 1871/page027_8.jpg	浽命添息浽茹
Tale of Kieu 1871/page025_7.jpg	沚𥑥生𭎑朱苔襊貪
Tale of Kieu 1866/page050b_20.jpg	役娘報復皮耒
Tale of Kieu 1866/page058b_13.jpg	𠃅楼員外翁󰜏𦋦𣦍
Tale of Kieu 1866/page045b_22.jpg	𣳮自落𨀈𨀈𦋦
Luc Van Tien/nlvnpf-0059-100_13.jpg	㝵戈𣎃論㐌苔𠀧𢆥
Luc Van Tien/nlvnpf-0059-034_1.jpg	仍啉呂浽渃𡽫朱耒
Tale of Kieu 1866/page066b_20.jpg	払浪哏咘󰜋𠳒
Tale of Kieu 1872/page55a_14.jpg	畧𡑝𢚸㐌𤋵𢚸
Tale of Kieu 1872/page74a_19.jpg	扒󰡲無錫筭塘𢯏花
Tale of Kieu 1871/page125_6.jpg	實信𦖑㐌閉𥹰
Tale of Kieu 1872/page72a_14.jpg	拱饒誓説㐌𡗉
Tale of Kieu 1866/page012a_15.jpg	䋦愁欺𫽻朱衝群迡
Tale of Kieu 1871/page108_20.jpg	賀功𡃹㐌過醝
Tale of Kieu 1872/page44a_0.jpg	聀浪梅竹吏𡆫
Luc Van Tien/nlvnpf-0059-035_0.jpg	童浪𡗶坦固咍
Luc Van Tien/nlvnpf-0059-069_11.jpg	𠼦𠋦容呐結塘通家
Tale of Kieu 1871/page058_7.jpg	輸機媒拱求和敢牢
Tale of Kieu 1871/page045_21.jpg	刼風塵別包𣇞󰑼催
Tale of Kieu 1871/page014_1.jpg	計陀少󰞽𢚸𠊛閉󰅒
Tale of Kieu 1872/page79a_18.jpg	妾自遇变旦徐
Tale of Kieu 1866/page065a_10.jpg	払浪呐拱𨔍𠁀
Tale of Kieu 1872/page68b_5.jpg	扵空安稳𡎢空凭鐄
Tale of Kieu 1871/page133_2.jpg	澄春絲柳群撑
Tale of Kieu 1872/page72a_13.jpg	底朱旦浽㵢花戞䕯
Tale of Kieu 1866/page027a_10.jpg	𢖵𠳒願約𠀧生
Tale of Kieu 1871/page073_9.jpg	唒浪𤾓𠰘坤分𨤰芇
Tale of Kieu 1872/page49b_3.jpg	債尼酉𤒘茹鐄拱𢧚
Tale of Kieu 1866/page037a_9.jpg	唒浪𤾓𠰘坤分𨤰芇
Tale of Kieu 1871/page118_3.jpg	底朱旦浽㵢花𣼸䕯
Tale of Kieu 1866/page067b_11.jpg	蔭牢曷玉蓝田買冬
Luc Van Tien/nlvnpf-0059-093_11.jpg	芒恩畧沛謝恩朱耒
Tale of Kieu 1871/page114_2.jpg	姉牢分蒙德苔
Tale of Kieu 1872/page37a_1.jpg	揞琹埃女𢴑𦀊朱停
Tale of Kieu 1871/page046_21.jpg	些低沛慢埃󰠲𦓡浪
Tale of Kieu 1872/page79b_15.jpg	麻冲𥙧沛固㝵固些
Tale of Kieu 1872/page57a_19.jpg	払𠫾妾拱决𢚸嗔𠫾
Tale of Kieu 1871/page021_0.jpg	𥪝如㗂䳽𠖤戈
Tale of Kieu 1866/page026a_15.jpg	󰖆銀󰀎󰞺買󰑼𠊛𤐝
Luc Van Tien/nlvnpf-0059-088_9.jpg	令頒帶帽朱荣皈𣈙
Luc Van Tien/nlvnpf-0059-037_15.jpg	添𤴬冲胣如炮如𢬗
Tale of Kieu 1866/page032b_9.jpg	𬖉𠊛㐌屈󰋇岸橷撑
Tale of Kieu 1871/page013_12.jpg	散霜㐌𧡊䏾𠊛
Tale of Kieu 1871/page076_5.jpg	𥊛車娘㐌𤏣澄裊車
Tale of Kieu 1866/page038b_5.jpg	𥊛車娘㐌𤏣澄裊車
Tale of Kieu 1871/page040_5.jpg	𣎀𣎀寒食𣈜𣈜元宵
Tale of Kieu 1871/page079_14.jpg	𢫘𠳒娘買䜹戈
Luc Van Tien/nlvnpf-0059-081_6.jpg	拠冲册史呐𦋦
Tale of Kieu 1866/page045a_4.jpg	妾如𡥵燕落弹
Tale of Kieu 1866/page019b_10.jpg	自低𧣳𣷭邊𡗶
Luc Van Tien/nlvnpf-0059-078_3.jpg	沉船𢧚浽𨉓𦋦󰡫尼
Tale of Kieu 1866/page047a_17.jpg	蹺強添伴別󰑼𠫾兜
Luc Van Tien/nlvnpf-0059-078_17.jpg	店又𢪀量𠬠𠁀㤕車
Tale of Kieu 1866/page051a_9.jpg	㐌信調𠓀乙𥄮調𡢐
Tale of Kieu 1871/page018_23.jpg	駸駸氷𨇒園𣌉󰜋命
Tale of Kieu 1866/page017b_21.jpg	觥𢆥奔粉半香㐌例
Tale of Kieu 1871/page019_22.jpg	生浪𩙌沫𦝄𬺚
Tale of Kieu 1872/page63b_6.jpg	抪身󰡲貝朝庭
Tale of Kieu 1872/page82a_5.jpg	荫牢曷玉蓝田買冬
Luc Van Tien/nlvnpf-0059-020_2.jpg	寒江丿㐌細耒
Tale of Kieu 1871/page091_14.jpg	戈制体㗂娘翹
Luc Van Tien/nlvnpf-0059-037_10.jpg	庒戈爫福朱払
Tale of Kieu 1872/page74a_0.jpg	醒𦋦買𠯇拱払
Luc Van Tien/nlvnpf-0059-008_11.jpg	渚涓退与模糊害民
Tale of Kieu 1871/page072_23.jpg	𭛣娘仍𥞁巴蜍悁身
Tale of Kieu 1871/page087_19.jpg	迍茹唉暫朱娘翥蹎
Tale of Kieu 1866/page052b_17.jpg	洒𦋦㐌泣渗𠓨㐌𥹰
Tale of Kieu 1872/page23a_5.jpg	昆蜂㐌𨸈塘𠫾𨇒𧗱
Tale of Kieu 1872/page48b_13.jpg	娘𦋦𢭸䏾畑終更𨱽
Luc Van Tien/nlvnpf-0059-015_11.jpg	𤾓𠄼朱援𢚸崙󰠃払
Luc Van Tien/nlvnpf-0059-097_18.jpg	典𫢩買訴正邪
Tale of Kieu 1872/page49b_8.jpg	𠦳初欧拱󰡫尼
Tale of Kieu 1872/page82a_8.jpg	払浪譜意𢬣芇
Luc Van Tien/nlvnpf-0059-086_6.jpg	翁浪啐㐌𦊚𢆥
Tale of Kieu 1872/page15b_17.jpg	群𧗱群女旦㝵暗𫢩
Tale of Kieu 1871/page113_21.jpg	娘群帖帖聀鐄渚泒
Luc Van Tien/nlvnpf-0059-036_2.jpg	畧䀡尋世爫頭
Tale of Kieu 1872/page68a_19.jpg	修󰑼桧福情󰑼𦀊寃
Luc Van Tien/nlvnpf-0059-005_2.jpg	尊師𦖑呐添傷
Tale of Kieu 1871/page102_4.jpg	𮎦雄㗂㐌噲浪
Tale of Kieu 1872/page61b_2.jpg	娘浪弄弄𡗶高
Tale of Kieu 1872/page74b_7.jpg	𢹣󰡲埬秩𠬠城臨淄
Tale of Kieu 1866/page030b_6.jpg	濁𬈴身拱󰑼身
Tale of Kieu 1866/page030a_10.jpg	𧡊𠳒鐄𥒥知知
Luc Van Tien/nlvnpf-0059-077_11.jpg	𡟱𫯳𡢐拱森𡆫𠬠尼
Luc Van Tien/nlvnpf-0059-008_8.jpg	雲仙𨅸吏边塘
Tale of Kieu 1872/page06a_10.jpg	翹自𧿨𨃴帳花
Tale of Kieu 1872/page39b_6.jpg	娘浪𡽫渃賒𣾺
Tale of Kieu 1872/page62b_14.jpg	㤕娘群𡮍双親
Tale of Kieu 1866/page055b_5.jpg	尼催歇刼󰠣膓󰑼低
Tale of Kieu 1872/page52a_9.jpg	麻払束手𦋦㝵抪𢬣
Tale of Kieu 1866/page042b_8.jpg	垠碎𨅸吏󰜋边
Tale of Kieu 1866/page059b_13.jpg	連𠶆員外翁妑共𨖅
Tale of Kieu 1872/page66b_5.jpg	𥪞𠇮𢪀㐌󰡏㝵托寃
Tale of Kieu 1871/page069_14.jpg	𧿆𣦍𨖲馭卽時
Tale of Kieu 1871/page021_14.jpg	𠳒鐄𠳐領意高
Tale of Kieu 1871/page070_1.jpg	碎隊尋覩娘芇𧡊󰠳
Tale of Kieu 1872/page14a_14.jpg	𠳒鐄𠳐領意高
Tale of Kieu 1866/page026a_18.jpg	仍𦖑呐㐌𢢆樁
Tale of Kieu 1872/page17b_18.jpg	旦都斤色斤才
Tale of Kieu 1866/page014a_14.jpg	旦都斤色斤才
Tale of Kieu 1871/page006_22.jpg	鞋文吝𨀈𨤮撑
Luc Van Tien/nlvnpf-0059-103_0.jpg	漁樵󰉨㐌名標
Luc Van Tien/nlvnpf-0059-093_7.jpg	状元倍𡲤𠖈跪𥿺𢬣
Tale of Kieu 1866/page031b_5.jpg	束翁催拱擛𠳒風波
Tale of Kieu 1866/page023b_21.jpg	些低沛摱埃兜𦓡浪
Tale of Kieu 1871/page032_5.jpg	計爫牢掣閍萬愛恩
Tale of Kieu 1871/page016_3.jpg	情強滲𤀏𢚸強謹魚
Luc Van Tien/nlvnpf-0059-027_1.jpg	底民細浽沙𡌢𤇧𧯄
Luc Van Tien/nlvnpf-0059-036_16.jpg	童浪柴寔固才
Tale of Kieu 1872/page81a_2.jpg	𡦂貞群𠬠𡮍尼
Tale of Kieu 1866/page051b_8.jpg	㤕娘群拙双親
Tale of Kieu 1871/page038_14.jpg	𭰃𠳒客買䜹浪
Tale of Kieu 1871/page131_18.jpg	情緣󰀎合散尼
Tale of Kieu 1872/page48b_5.jpg	倍傍強呐強唭朱戈
Tale of Kieu 1871/page104_17.jpg	洒𦋦㐌泣渗𠓨㐌溇
Tale of Kieu 1872/page09a_17.jpg	庄緣渚易𠓨𢬣埃扲
Tale of Kieu 1872/page43a_10.jpg	産屍無主边滝
Tale of Kieu 1866/page059b_2.jpg	浪碎卒过蹎𦋦
Luc Van Tien/nlvnpf-0059-010_8.jpg	臨危󰝸及解危
Tale of Kieu 1866/page03b_8.jpg	㐌弄顯現朱󰏙
Tale of Kieu 1871/page063_2.jpg	吀払料急吏茹
